TotalEmissions,TransportationTotalEmissions,HousingTotalEmissions,FoodTotalEmissions,GoodsTotalEmissions,ServicesTotalEmissions,CensusTract
24465794.2038599,3231697.1815015,5580057.20852888,6540735.67590726,3681300.70253782,5432003.4353844,360610083002019
22564907.3059487,2918399.53613689,4139090.56057731,6250705.23198478,3600586.603235,5656125.37401475,360610097002019
36229910.8285474,6268826.36227351,7444468.38810909,8215520.74094803,5256422.91881431,9044672.41840251,360610106012019
21620695.4453529,3639153.10944433,3708395.24471565,5172987.51716314,3229479.63454515,5870679.93948467,360610113002019
22017818.7656787,2881662.72948447,4445571.74429695,6214317.78432956,3455724.1110549,5020542.39651285,360610121002019
33402561.5400306,6304013.04486374,6057938.97101562,8147522.27166893,4905136.35390985,7987950.89857248,360610122002019
29894478.648598,4207011.10923136,7245462.03293983,7374351.97642065,4339744.65013593,6727908.8798702,360610126002019
23417215.8403334,3334245.17025175,4602268.60577267,6453304.64507916,3625964.94998052,5401432.46924928,360610129002019
35668710.7398008,6145756.74996608,7407457.52797075,8477328.56374733,5239897.89025484,8398270.0078618,360610137002019
29909636.4858876,4592616.25339943,6767772.47628329,7556102.32509621,4366994.74315667,6626150.68795201,360610138002019
26886583.4926382,3607943.16716408,6029833.30497033,7307693.24647861,4095375.20670042,5845738.56732478,360610152002019
24555471.1250815,3899425.61605745,4633894.96691692,6648997.89723504,3775895.27613435,5597257.36873771,360610101002019
27064395.8375055,3909769.12550785,5924999.50283491,6919700.6695248,4042773.69921527,6267152.84042267,360610127002019
27329291.7264876,4266000.71801675,5934360.24042668,6931353.93785585,4026268.48264961,6171308.34753867,360610131002019
26438756.6169382,3797540.12796442,5683579.94083057,7079511.06496368,4004331.6340649,5873793.84911462,360610133002019
39622349.1619537,6327153.95583698,8356468.73168443,9542966.25594614,5930347.00479209,9465413.21369407,360610142002019
30952306.7545932,5027159.71902588,6478761.50954997,7398214.27660218,4536309.48239426,7511861.76702088,360610149002019
37591582.2777297,5979336.01590344,8310436.9310125,9200820.50758233,5535848.87459679,8565139.94863467,360610150012019
42892784.688203,7226563.40067682,9117616.62274218,9504442.15917297,6203011.77104309,10841150.7345679,360610150022019
29934101.2772004,4446129.49731314,6535254.09376922,7747191.31963059,4475698.07921116,6729828.28727628,360610154002019
30898469.9688044,4716766.40259022,6468629.18235847,7941683.73654917,4656400.92002883,7114989.72727767,360610163002019
22124197.1203496,2364987.04450124,5926211.20000466,6345436.09679395,3277317.47831597,4210245.30073373,360610192002019
28881370.6473842,3691400.33555068,7089316.82891896,7383261.67565717,4275368.53111879,6442023.2761386,360610195002019
30874604.4020823,4167643.45044128,7307063.1677175,7960679.42118084,4590989.8540072,6848228.50873552,360610199002019
32752489.2278519,4849939.49661638,7758683.85067481,8139755.63930793,4774447.78352102,7229662.45773173,360610205002019
23162189.8522414,2336134.02587669,6310131.95337617,6364366.50816845,3439583.51970872,4711973.84511139,360610230002019
27763162.6261686,2959846.74260756,7236169.06299271,7679368.67967631,4153310.93802742,5734467.2028646,360610203002019
24661500.8761967,3683432.06765483,4983598.96131849,6630433.30171805,3741441.0699986,5622595.47550676,360610139002019
33403596.1165141,5645297.48196278,6865899.67484659,8220164.30425137,4957890.58870875,7714344.06674463,360610145002019
34158067.0165468,6375965.89888771,6641577.19486583,8767764.15383629,5016124.64620786,7356635.12274913,360610147002019
